Date,Mean maximum (ºC),Mean(ºC),Mean minimum(ºC),Mean relative humidity (%),Insolation duration (hour),Total rainfall (mm)
1999/11/15,24.9,22.5,20.5,61,9.3,0
1999/11/16,23.1,20.6,18.3,63,8.4,0
1999/11/17,21.5,19.1,16.7,64,8.1,0
1999/11/18,20.6,17.6,14.2,65,9,0
1999/11/19,22.4,19.3,16.3,67,8.6,0
1999/11/20,24.8,20.8,17.9,70,8.5,0
1999/11/21,25.7,21.7,19.2,80,8.7,0
1999/11/22,26.4,22.6,20.3,82,4.1,0
1999/11/23,27.4,22.8,19.9,81,9.1,0
1999/11/24,25.9,22.5,20.5,79,8.5,0
1999/11/25,28.4,22.8,19,77,8.7,0
1999/11/26,23.9,21.6,20.3,78,8.5,0
1999/11/27,25.7,22.4,20,74,6.2,0
1999/11/28,21.9,16.7,12.7,64,6.2,0
1999/11/29,16.3,14,10.6,59,7.3,0
1999/11/30,20.1,16.2,12.3,59,8.8,0
1999/12/1,22,18.2,14.8,59,8.1,0
1999/12/2,20.3,17.6,14.8,66,8.3,0
1999/12/3,18,16.4,14.5,73,0,14
1999/12/4,16.8,15.5,14.2,88,0,6
1999/12/5,18.4,16.1,14.5,78,1,0.01
1999/12/6,16.5,14.5,11.5,67,0,0.01
1999/12/7,17.5,15.2,13,52,4.6,0
1999/12/8,19.4,15.8,12.2,54,9.1,0
1999/12/9,20,16.8,13.6,45,9.3,0
1999/12/10,21.1,17.7,14.3,52,7.6,0
1999/12/11,22.3,18.6,15.7,55,7.8,0
1999/12/12,19.8,18.5,16.8,72,0,0.01
1999/12/13,21.8,18.8,16.9,69,0.8,0.01
1999/12/14,21.2,18.8,17,56,3.2,0
1999/12/15,20.7,18,15.5,63,5.6,0
1999/12/16,18.4,16,14.6,90,0,6.6
1999/12/17,15.6,15,13.9,93,0,21.6
1999/12/18,15.2,12.9,11.6,89,0,8.4
1999/12/19,15.4,13.6,11.7,74,0.3,0.2
1999/12/20,13.6,11.3,9,50,9.1,0
1999/12/21,11.9,9.2,5.8,37,9.3,0
1999/12/22,9.6,7.7,5.4,33,9.2,0
1999/12/23,10.4,7.3,3.7,37,9.3,0
1999/12/24,14.6,10.6,6.6,34,9.4,0
1999/12/25,16,11.9,8.2,42,9.3,0
1999/12/26,17.6,13.6,9.5,52,8.4,0
1999/12/27,18.6,15.1,11.7,67,3.5,0
1999/12/28,22.9,17.5,14.3,70,6.2,0.01
1999/12/29,20,16.4,13.7,79,0.6,0
1999/12/30,24.5,17.6,14,68,9.2,0
1999/12/31,23.1,18,15,71,9.4,0
2000/1/1,24,18.1,14.7,71,9.3,0
2000/1/2,25.3,19.8,15.7,60,8.3,0
2000/1/3,21,18.4,15.5,70,8.9,0
